2-faced,farced_facet_fazed_faces_face_
2-faces,facers_fauces_feces_facest_facets_
abnormal,unusual_unexpected_irregular_exceptional_unnatural_
abolish,prohibit_overturn_revoke_wipe out_suppress_
abominable,abhorrent_wretched_terrible_atrocious_horrid_
abominably,clumsily_awkwardly_poorly_carelessly_crudely_
abominate,despise_dislike_hate_abhor_loathe_
abomination,curse_horror_detestation_anathema_evil_
abort,cut off_scrub_halt_scrap_terminate_
aborted,cut off_scrub_halt_scrap_terminate_
aborts,cut off_scrub_halt_scrap_terminate_
abrade,chafe_erode_scuff_rub_wear_
abrasive,biting_nasty_annoying_caustic_sharp_
abrupt,blunt_brusque_crude_crusty_curt_
abruptly,suddenly_unexpectedly_precipitously_all of a sudden_unanticipatedly_
abscond,break_hightail_fade_skedaddle_get_
absence,cut_vacancy_hooky_absenteeism_truancy_
absent-minded,absent_absorbed_abstracted_careless_daydreaming_
absentee,remote_absent_distant_oblivious_
absurd,crazy_illogical_ludicrous_unreasonable_goofy_
absurdity,silliness_farce_craziness_folly_foolishness_
absurdly,stupidly_mistakenly_unwisely_imprudently_indiscreetly_
absurdness,irrationality_silliness_craziness_lunacy_bunk_
abuse,prostitution_crime_exploitation_misdeed_injustice_
abused,harm_violate_maltreat_impair_corrupt_
abuses,prostitution_crime_exploitation_misdeed_injustice_
abusive,offensive_insulting_rude_censorious_defamatory_
abysmal,bottomless_boundless_complete_deep_endless_
abysmally,abyssal_abnormally_abysm_absurdly_
abyss,void_depth_crevasse_chasm_gulf_
accidental,unintended_incidental_unplanned_inadvertent_unforeseen_
accost,confront_annoy_bother_welcome_cross_
accursed,condemned_doomed_damned_done for_ill-fated_
accusation,complaint_denunciation_allegation_indictment_insinuation_
accusations,complaint_denunciation_allegation_indictment_insinuation_
accuse,prosecute_sue_name_brand_summon_
accuses,prosecute_sue_name_brand_summon_
accusing,prosecute_sue_name_brand_summon_
accusingly,amusingly_accursing_accordingly_
acerbate,annoy_aggravate_disturb_provoke_perturb_
acerbic,sharp_harsh_caustic_acidic_acrid_
acerbically,acrimoniously_bitingly_caustically_maliciously_sneeringly_
ache,soreness_twinge_pang_misery_anguish_
ached,throb_pound_pain_twinge_hurt_
aches,soreness_twinge_pang_misery_anguish_
achey,achy_archer_ashy_ached_asher_
aching,sore_nagging_tender_raw_smarting_
acrid,pungent_stinging_acid_astringent_biting_
acridly,acridity_crudely_acarid_acarids_adroitly_
acridness,tartness_acerbity_causticity_pungency_sourness_
acrimonious,rancorous_testy_belligerent_petulant_caustic_
acrimoniously,acerbically_bitingly_caustically_maliciously_sneeringly_
acrimony,animosity_ill will_belligerence_bitterness_rancor_
adamant,uncompromising_stubborn_resolute_determined_intransigent_
adamantly,strictly_stubbornly_resolutely_constantly_intently_
addict,enthusiast_devotee_practitioner_fanatic_follower_
addicted,devoted_obsessed_hooked_inclined_absorbed_
addicting,perpetual_inveterate_chronic_repeated_addicted_
addicts,enthusiast_devotee_practitioner_fanatic_follower_
admonish,exhort_enjoin_scold_chide_berate_
admonisher,monitor_
admonishingly,admonition_
admonishment,scolding_admonition_reprimand_reproof_reproach_
admonition,advice_warning_counsel_forewarning_apprisal_
adulterate,contaminate_shave_defile_dilute_mingle_
adulterated,tainted_weakened_diluted_mixed_deteriorated_
adulteration,deterioration_contamination_debauchment_
adulterier,adulterers_adulterine_adultery_
adversarial,antagonistic_adverse_antipathetic_opposed_adversative_
adversary,enemy_competitor_foe_rival_attacker_
adverse,inimical_conflicting_negative_unfriendly_detrimental_
adversity,disaster_crunch_misfortune_hardship_sorrow_
afflict,annoy_torture_bother_wound_oppress_
affliction,illness_pain_hardship_sickness_scourge_
afflictive,aching_achy_agonizing_distressing_excruciating_
affront,indignity_provocation_slight_slur_slap_
afraid,timid_nervous_scared_suspicious_apprehensive_
aggravate,bother_provoke_irritate_pester_needle_
aggravating,bother_provoke_irritate_pester_needle_
aggravation,irritation_pain_distress_hang-up_bother_
aggression,raid_onslaught_encroachment_offensive_assault_
aggressive,contentious_intrusive_combative_threatening_destructive_
aggressiveness,combativeness_militance_hostility_belligerence_offensive_
aggressor,trespasser_assailant_invader_intruder_instigator_
aggrieve,oppress_abuse_afflict_
aggrieved,oppressed_disturbed_injured_peeved_harmed_
aggrivation,aggregation_activation_aggravating_
aghast,stunned_agog_shocked_anxious_afraid_
agonies,torture_torment_misery_woe_passion_
agonize,disturb_lament_harrow_excruciate_crucify_
agonizing,tortuous_harrowing_intense_excruciating_tormenting_
