DATE	COMPANY	TWEET COUNT
2016-09-19	Boeing	2893
2016-09-20	Boeing	3540
2016-09-21	Boeing	4247
2016-09-22	Boeing	4607
2016-09-23	Boeing	2924
2016-09-24	Boeing	3881
2016-09-25	Boeing	2496
2016-09-26	Boeing	4164
2016-09-27	Boeing	4081
2016-09-28	Boeing	4538
2016-09-29	Boeing	3614
2016-09-30	Boeing	3984
2016-10-01	Boeing	3628
2016-10-02	Boeing	3159
2016-10-03	Boeing	3905
2016-10-04	Boeing	4338
2016-10-05	Boeing	3369
2016-10-06	Boeing	2046
2016-10-06	Boeing	4794
2016-10-07	Boeing	5271
2016-10-08	Boeing	5113
2016-10-09	Boeing	4396
2016-10-10	Boeing	3818
2016-10-11	Boeing	5636
2016-10-12	Boeing	4970
2016-10-13	Boeing	4380
2016-10-14	Boeing	4964
2016-10-15	Boeing	4202
2016-10-16	Boeing	4022
2016-10-17	Boeing	4524
2016-10-18	Boeing	4593
2016-10-19	Boeing	4474
2016-10-20	Boeing	4323
2016-10-21	Boeing	4142
2016-10-22	Boeing	3981
2016-10-23	Boeing	3686
2016-10-24	Boeing	4356
2016-10-25	Boeing	4492
2016-10-26	Boeing	2366
2016-10-27	Boeing	2527
2016-10-28	Boeing	2226
2016-10-29	Boeing	1553
2016-10-30	Boeing	1274
2016-10-31	Boeing	1844
2016-11-01	Boeing	1438
2016-11-02	Boeing	1801
2016-11-03	Boeing	1381
2016-11-04	Boeing	1404
2016-11-05	Boeing	928
2016-11-06	Boeing	1015
2016-11-07	Boeing	1730
2016-11-08	Boeing	1269
2016-11-09	Boeing	1558
2016-11-10	Boeing	1392
2016-11-17	Boeing	1920
2016-11-18	Boeing	1969
2016-11-19	Boeing	1204
2016-11-20	Boeing	1403
2016-11-21	Boeing	1723
2016-11-22	Boeing	2471
2016-11-23	Boeing	1926
2016-11-24	Boeing	1302
2016-11-25	Boeing	1286
2016-11-26	Boeing	1071
2016-11-27	Boeing	984
2016-11-28	Boeing	2124
2016-11-29	Boeing	519
