DATE	COMPANY	TWEET COUNT
2016-09-19	Google	2788
2016-09-21	Google	2895
2016-09-22	Google	2791
2016-09-23	Google	3000
2016-09-24	Google	2451
2016-09-25	Google	2308
2016-09-26	Google	2727
2016-09-27	Google	3024
2016-09-28	Google	3057
2016-09-29	Google	2053
2016-09-30	Google	2615
2016-10-01	Google	2388
2016-10-02	Google	2207
2016-10-03	Google	2740
2016-10-04	Google	3430
2016-10-05	Google	3619
2016-10-06	Google	2604
2016-10-06	Google	3316
2016-10-07	Google	3523
2016-10-08	Google	2974
2016-10-09	Google	2805
2016-10-10	Google	3458
2016-10-11	Google	3365
2016-10-12	Google	3357
2016-10-13	Google	3146
2016-10-14	Google	3084
2016-10-15	Google	3131
2016-10-16	Google	2800
2016-10-17	Google	3329
2016-10-18	Google	3579
2016-10-19	Google	3407
2016-10-20	Google	3103
2016-10-21	Google	3243
2016-10-22	Google	2997
2016-10-23	Google	2779
2016-10-24	Google	3688
2016-10-25	Google	3336
2016-10-26	Google	3291
2016-10-27	Google	4007
2016-10-28	Google	3408
2016-10-29	Google	2875
2016-10-30	Google	2963
2016-10-31	Google	2810
2016-11-01	Google	2811
2016-11-02	Google	3165
2016-11-03	Google	1631
2016-11-04	Google	2866
2016-11-05	Google	2386
2016-11-06	Google	2735
2016-11-07	Google	3185
2016-11-08	Google	2860
2016-11-09	Google	2582
2016-11-17	Google	2823
2016-11-18	Google	3310
2016-11-19	Google	2803
2016-11-20	Google	2938
2016-11-21	Google	3084
2016-11-22	Google	3137
2016-11-23	Google	2931
2016-11-24	Google	2778
2016-11-25	Google	2737
2016-11-26	Google	2745
2016-11-27	Google	2755
2016-11-28	Google	2906
2016-11-29	Google	2496
