DATE	COMPANY	TWEET COUNT
2016-09-19	Merck	727
2016-09-20	Merck	770
2016-09-21	Merck	873
2016-09-22	Merck	852
2016-09-23	Merck	578
2016-09-24	Merck	500
2016-09-25	Merck	559
2016-09-26	Merck	738
2016-09-27	Merck	696
2016-09-28	Merck	888
2016-09-29	Merck	762
2016-09-30	Merck	771
2016-10-01	Merck	445
2016-10-02	Merck	438
2016-10-03	Merck	557
2016-10-04	Merck	633
2016-10-05	Merck	702
2016-10-06	Merck	799
2016-10-07	Merck	853
2016-10-08	Merck	606
2016-10-09	Merck	913
2016-10-10	Merck	1747
2016-10-11	Merck	926
2016-10-12	Merck	970
2016-10-13	Merck	1092
2016-10-14	Merck	935
2016-10-15	Merck	784
2016-10-16	Merck	617
2016-10-17	Merck	861
2016-10-18	Merck	730
2016-10-19	Merck	1123
2016-10-20	Merck	1094
2016-10-21	Merck	1149
2016-10-22	Merck	601
2016-10-23	Merck	702
2016-10-24	Merck	1099
2016-10-25	Merck	2522
2016-10-26	Merck	672
2016-10-27	Merck	489
2016-10-28	Merck	525
2016-10-29	Merck	295
2016-10-30	Merck	229
2016-10-31	Merck	431
2016-11-01	Merck	311
2016-11-02	Merck	541
2016-11-03	Merck	506
2016-11-04	Merck	508
2016-11-05	Merck	289
2016-11-06	Merck	226
2016-11-07	Merck	347
2016-11-08	Merck	323
2016-11-09	Merck	384
2016-11-10	Merck	214
2016-11-17	Merck	522
2016-11-18	Merck	497
2016-11-19	Merck	194
2016-11-20	Merck	333
2016-11-21	Merck	353
2016-11-22	Merck	425
2016-11-23	Merck	126
2016-11-24	Merck	217
2016-11-25	Merck	191
2016-11-26	Merck	100
2016-11-27	Merck	122
2016-11-28	Merck	307
2016-11-29	Merck	354
