Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-07-01,73.13,73.17,72.415,72.81,7638181.0,0.0,1.0,71.1318798388,71.1707869247,70.4364156779,70.8206231514,7638181.0
2016-07-05,72.75,73.62,72.68,73.14,10748626.0,0.0,1.0,70.7622625225,71.6084916414,70.6941751222,71.1416066103,10748626.0
2016-07-06,73.26,73.98,73.17,73.82,11062713.0,0.0,1.0,71.2583278681,71.9586554147,71.1707869247,71.803027071,11062713.0
2016-07-07,73.73,73.9321,73.15,73.53,7486861.0,0.0,1.0,71.7154861276,71.9120641793,71.1513333818,71.520950698,7486861.0
2016-07-08,73.82,73.85,73.24,73.84,9127565.0,0.0,1.0,71.803027071,71.8322073854,71.2388743251,71.8224806139,9127565.0
2016-07-11,73.67,74.35,73.5,74.06,9040070.0,0.0,1.0,71.6571254988,72.3185459595,71.4917703836,72.0364695865,9040070.0
2016-07-12,73.56,73.73,73.0,73.27,12360974.0,0.0,1.0,71.5501310125,71.7154861276,71.0054318096,71.2680546395,12360974.0
2016-07-13,73.25,73.63,72.94,73.62,6393864.0,0.0,1.0,71.2486010966,71.6182184128,70.9470711807,71.6084916414,6393864.0
2016-07-14,73.79,74.11,73.61,73.7,6646248.0,0.0,1.0,71.7738467565,72.0851034439,71.5987648699,71.6863058132,6646248.0
2016-07-15,73.98,74.01,73.44,73.67,5994480.0,0.0,1.0,71.9586554147,71.9878357291,71.4334097547,71.6571254988,5994480.0
2016-07-18,73.64,74.18,73.53,73.84,5457237.0,0.0,1.0,71.6279451843,72.1531908443,71.520950698,71.8224806139,5457237.0
2016-07-19,73.64,73.96,73.585,73.66,4797883.0,0.0,1.0,71.6279451843,71.9392018717,71.5744479412,71.6473987273,4797883.0
2016-07-20,73.88,74.11,73.63,73.79,5281885.0,0.0,1.0,71.8613876999,72.0851034439,71.6182184128,71.7738467565,5281885.0
2016-07-21,73.43,73.656,73.14,73.52,4432231.0,0.0,1.0,71.4236829832,71.6435080187,71.1416066103,71.5112239266,4432231.0
2016-07-22,73.76,73.91,73.42,73.55,4316633.0,0.0,1.0,71.7446664421,71.8905680143,71.4139562117,71.540404241,4316633.0
2016-07-25,73.55,73.835,73.41,73.75,4733874.0,0.0,1.0,71.540404241,71.8176172282,71.4042294403,71.7349396706,4733874.0
2016-07-26,73.71,74.07,73.41,73.73,5248083.0,0.0,1.0,71.6960325847,72.046196358,71.4042294403,71.7154861276,5248083.0
2016-07-27,73.66,73.82,73.135,73.32,5771470.0,0.0,1.0,71.6473987273,71.803027071,71.1367432245,71.3166884969,5771470.0
2016-07-28,73.14,73.32,72.47,73.24,4603167.0,0.0,1.0,71.1416066103,71.3166884969,70.4899129211,71.2388743251,4603167.0
2016-07-29,73.17,73.25,72.76,72.97,6302187.0,0.0,1.0,71.1707869247,71.2486010966,70.771989294,70.9762514951,6302187.0
2016-08-01,72.81,73.99,72.81,73.78,5866120.0,0.0,1.0,70.8206231514,71.9683821861,70.8206231514,71.7641199851,5866120.0
2016-08-02,73.7,73.72,72.63,73.13,6513056.0,0.0,1.0,71.6863058132,71.7057593562,70.6455412648,71.1318798388,6513056.0
2016-08-03,73.0,73.4,72.51,72.94,6567966.0,0.0,1.0,71.0054318096,71.3945026688,70.528820007,70.9470711807,6567966.0
2016-08-04,72.8,73.49,72.59,73.3,4944707.0,0.0,1.0,70.8108963799,71.4820436121,70.6066341788,71.297234954,4944707.0
2016-08-05,73.46,73.95,73.46,73.76,5415442.0,0.0,1.0,71.4528632977,71.9294751002,71.4528632977,71.7446664421,5415442.0
2016-08-08,74.0,74.07,73.04,73.34,6577147.0,0.0,1.0,71.9781089576,72.046196358,71.0443388955,71.3361420399,6577147.0
2016-08-09,73.36,73.88,73.08,73.54,6427875.0,0.0,1.0,71.3555955829,71.8613876999,71.0832459814,71.5306774695,6427875.0
2016-08-10,73.57,74.51,73.39,73.95,8052272.0,0.5,1.0,72.0436972551,72.9641957656,71.8674315829,72.4158136743,8052272.0
2016-08-11,74.5,74.8,73.53,73.8,6290331.0,0.0,1.0,72.9544032283,73.2481793487,72.0045271057,72.2689256141,6290331.0
2016-08-12,73.8,74.12,73.56,73.89,9993651.0,0.0,1.0,72.2689256141,72.5822868091,72.0339047178,72.3570584502,9993651.0
2016-08-15,73.81,74.01,73.11,73.32,9636116.0,0.0,1.0,72.2787181514,72.4745688983,71.5932405372,71.7988838215,9636116.0
2016-08-16,72.59,73.31,72.21,72.89,9763349.0,0.0,1.0,71.0840285952,71.7890912841,70.711912176,71.3778047156,9763349.0
2016-08-17,71.99,72.95,71.99,72.93,14332077.0,0.0,1.0,70.4964763544,71.4365599397,70.4964763544,71.416974865,14332077.0
2016-08-18,74.94,75.19,73.87,74.3,26858329.0,0.0,1.0,73.3852748715,73.6300883052,72.3374733755,72.7585524814,26858329.0
2016-08-19,74.1,74.29,72.67,72.81,15345507.0,0.0,1.0,72.5627017345,72.748759944,71.162368894,71.2994644168,15345507.0
2016-08-22,73.06,73.14,72.45,72.7,10312074.0,0.0,1.0,71.5442778505,71.6226181492,70.9469330724,71.191746506,10312074.0
2016-08-23,72.89,73.07,71.96,71.97,9390940.0,0.0,1.0,71.3778047156,71.5540703878,70.4670987424,70.4768912797,9390940.0
2016-08-24,71.97,72.75,71.76,72.23,10050580.0,0.0,1.0,70.4768912797,71.2407091927,70.2712479955,70.7314972507,10050580.0
2016-08-25,72.37,72.58,71.05,71.22,10513910.0,0.0,1.0,70.8685927736,71.0742360579,69.5759778439,69.7424509788,10513910.0
2016-08-26,71.41,71.69,70.89,71.14,10038464.0,0.0,1.0,69.9285091884,70.202700234,69.4192972464,69.66411068,10038464.0
2016-08-29,71.14,71.66,71.1,71.4,7467288.0,0.0,1.0,69.66411068,70.173322622,69.6249405306,69.918716651,7467288.0
2016-08-30,71.76,71.76,71.15,71.31,5772930.0,0.0,1.0,70.2712479955,70.2712479955,69.6739032174,69.8305838149,5772930.0
2016-08-31,71.46,71.64,71.15,71.44,6311636.0,0.0,1.0,69.9774718751,70.1537375473,69.6739032174,69.9578868004,6311636.0
2016-09-01,71.57,72.86,71.41,72.84,11761356.0,0.0,1.0,70.0851897859,71.3484271035,69.9285091884,71.3288420289,11761356.0
2016-09-02,72.99,73.19,72.415,72.5,8082939.0,0.0,1.0,71.475730089,71.671580836,70.9126591916,70.9958957591,8082939.0
2016-09-06,72.76,73.08,72.2,73.0,9569405.0,0.0,1.0,71.2505017301,71.5638629252,70.7021196387,71.4855226264,9569405.0
