Date	Open	High	Low	Close	Volume	Adj Close	+/-	% change	
2017-02-10	35.259998	35.43	34.84	35.34	44065400	35.34	+	0.22689167481	
2017-02-09	36.50	36.50	35.400002	35.459999	47802700	35.459999	-	-2.84931780822	
2017-02-08	36.34	36.650002	36.139999	36.380001	20807400	36.380001	+	0.110074298294	
2017-02-07	36.450001	36.52	36.240002	36.349998	18581900	36.349998	-	-0.274356645422	
2017-02-06	36.509998	36.509998	36.150002	36.27	21427000	36.27	-	-0.657348707606	
2017-02-03	36.689999	36.82	36.450001	36.52	21038100	36.52	-	-0.463338797038	
2017-02-02	36.259998	36.700001	36.200001	36.68	31916900	36.420001	+	1.15830673791	
2017-02-01	36.82	36.950001	36.02	36.52	28380600	36.261136	-	-0.814774579033	
2017-01-31	37.220001	37.369999	36.639999	36.82	27059100	36.559008	-	-1.07469368418	
2017-01-30	37.740002	37.84	37.330002	37.419998	23954700	37.154754	-	-0.847917284159	
2017-01-27	38.00	38.450001	37.810001	37.98	44368600	37.710786	-	-0.0526315789474	
2017-01-26	37.82	37.919998	37.419998	37.560001	34144800	37.293765	-	-0.687464304601	
2017-01-25	37.869999	38.00	37.52	37.799999	32276400	37.532061	-	-0.18484288843	
2017-01-24	36.84	37.740002	36.810001	37.619999	35140900	37.353337	+	2.11726112921	
2017-01-23	37.07	37.209999	36.549999	36.77	27752600	36.509364	-	-0.80927974103	
2017-01-20	36.759998	37.029999	36.580002	36.939999	23950900	36.678157	+	0.489665423812	
2017-01-19	36.509998	36.91	36.509998	36.57	13654500	36.31078	+	0.164344024341	
2017-01-18	36.889999	37.009998	36.610001	36.759998	15382500	36.499432	-	-0.35240174444	
2017-01-17	36.669998	36.830002	36.59	36.799999	20195200	36.53915	+	0.354515972431	
2017-01-13	36.709999	36.860001	36.619999	36.790001	15072200	36.529222	+	0.217929725359	
2017-01-12	36.830002	36.830002	36.32	36.709999	20391900	36.449787	-	-0.325829469138	
2017-01-11	36.509998	37.00	36.509998	36.950001	22398400	36.688088	+	1.20515755712	
2017-01-10	36.549999	36.93	36.529999	36.540001	15918800	36.280994	-	-0.0273543099139	
2017-01-09	36.48	36.889999	36.48	36.610001	19449400	36.350498	+	0.356362390351	
2017-01-06	36.59	36.68	36.189999	36.48	15114000	36.221418	-	-0.300628587046	
2017-01-05	36.450001	36.720001	36.310001	36.349998	13986000	36.092339	-	-0.274356645422	
2017-01-04	36.709999	36.77	36.34	36.41	15915700	36.151915	-	-0.817213315642	
2017-01-03	36.610001	36.93	36.27	36.599998	20196500	36.340567	-	-0.0273231350089	
2016-12-30	36.790001	36.799999	36.200001	36.27	17468000	36.012908	-	-1.41343024155	
2016-12-29	36.509998	36.720001	36.43	36.66	8447300	36.400143	+	0.410851843925	
2016-12-28	37.099998	37.200001	36.580002	36.630001	12868600	36.370357	-	-1.26683834323	
2016-12-27	36.91	37.330002	36.91	37.07	9033700	36.807236	+	0.43348685993	
2016-12-23	36.93	36.98	36.77	36.970001	6287300	36.707947	+	0.108315732467	
2016-12-22	37.23	37.240002	36.810001	36.93	10793900	36.668229	-	-0.805801772764	
2016-12-21	37.25	37.349998	36.91	36.98	14323600	36.717874	-	-0.724832214765	
2016-12-20	36.950001	37.240002	36.889999	37.209999	18551800	36.946243	+	0.703648154164	
2016-12-19	36.34	36.950001	36.27	36.889999	18744300	36.628512	+	1.51348101266	
2016-12-16	36.720001	36.869999	36.09	36.310001	38212800	36.052625	-	-1.1165577038	
2016-12-15	36.740002	37.16	36.529999	36.790001	23721500	36.529222	+	0.136088724219	
2016-12-14	36.700001	36.889999	36.459999	36.549999	30819400	36.290922	-	-0.408724784503	
2016-12-13	36.009998	36.889999	35.93	36.799999	35773600	36.53915	+	2.19383794467	
2016-12-12	35.779999	36.09	35.669998	35.970001	21985800	35.715035	+	0.531028522388	
