Date	Open	High	Low	Close	Volume	Adj Close	+/-	% change	
2016-11-15	63.68	63.73	63.080002	63.650002	7283600	63.650002	-	-0.0471074120603	
2016-11-14	64.00	64.089996	63.240002	63.529999	10056700	63.529999	-	-0.7343765625	
2016-11-11	64.080002	64.510002	63.580002	63.950001	13941800	63.950001	-	-0.202872964954	
2016-11-10	64.540001	65.459999	64.519997	64.959999	17862300	64.959999	+	0.650756110153	
2016-11-09	63.959999	65.00	62.759998	64.18	27547200	64.18	+	0.343966546966	
2016-11-08	59.82	60.779999	59.52	60.509998	7903700	60.509998	+	1.15345703778	
2016-11-07	59.52	60.209999	59.48	60.049999	10360300	60.049999	+	0.89045530914	
2016-11-04	58.689999	59.27	58.610001	58.82	11231100	58.82	+	0.221504519024	
2016-11-03	59.18	59.220001	58.290001	58.43	11323000	58.43	-	-1.26732004055	
2016-11-02	59.060001	59.509998	58.75	58.84	10724700	58.84	-	-0.372504226676	
2016-11-01	59.00	59.59	58.509998	59.299999	14347400	59.299999	+	0.508472881356	
2016-10-31	59.09	59.150002	58.369999	58.720001	14254800	58.720001	-	-0.626161787104	
2016-10-28	61.02	61.07	58.450001	58.84	20358400	58.84	-	-3.57259914782	
2016-10-27	61.150002	62.060001	61.00	61.290001	10350700	61.290001	+	0.228943573869	
2016-10-26	61.740002	61.849998	60.549999	60.869999	9957800	60.869999	-	-1.40913989604	
2016-10-25	60.27	62.189999	59.549999	61.950001	15188500	61.950001	+	2.78745810519	
2016-10-24	61.400002	61.48	60.639999	60.75	9943000	60.75	-	-1.05863514467	
2016-10-21	61.549999	61.900002	61.029999	61.200001	7406700	61.200001	-	-0.568640139214	
2016-10-20	61.950001	62.27	61.689999	61.919998	6323400	61.919998	-	-0.0484309919543	
2016-10-19	62.130001	62.299999	61.810001	61.869999	5582700	61.869999	-	-0.418480598447	
2016-10-18	61.900002	62.619999	61.830002	62.09	9988000	62.09	+	0.306943447272	
2016-10-17	62.049999	62.049999	60.799999	61.52	13054600	61.52	-	-0.854148281292	
2016-10-14	62.720001	62.860001	62.130001	62.139999	12204200	62.139999	-	-0.924748071991	
2016-10-13	62.25	62.950001	61.939999	62.509998	14541500	62.509998	+	0.41766746988	
2016-10-12	62.400002	62.630001	61.580002	61.66	10121900	61.66	-	-1.18590060302	
2016-10-11	63.529999	63.549999	61.75	61.93	13955400	61.93	-	-2.5184936647	
2016-10-10	64.209999	64.860001	63.439999	63.900002	20345900	63.900002	-	-0.482786177897	
2016-10-07	62.77	62.990002	62.029999	62.77	10775200	62.77	=	0.0	
2016-10-06	62.490002	62.689999	61.740002	62.66	11430500	62.66	+	0.272040317746	
2016-10-05	62.700001	63.040001	62.48	62.799999	7871300	62.799999	+	0.159486440838	
2016-10-04	62.48	62.950001	61.939999	62.459999	7897400	62.459999	-	-0.03201184379	
2016-10-03	62.220001	62.57	61.669998	62.52	7520100	62.52	+	0.482158462196	
2016-09-30	61.889999	62.73	61.860001	62.41	13605300	62.41	+	0.840201984815	
2016-09-29	63.02	63.02	61.560001	61.91	10930000	61.91	-	-1.76134560457	
2016-09-28	63.00	63.48	62.50	63.299999	11795000	63.299999	+	0.476188888889	
2016-09-27	62.310001	62.700001	61.830002	62.57	7340800	62.57	+	0.417266884653	
2016-09-26	62.529999	62.580002	61.880001	62.150002	6983800	62.150002	-	-0.607703512037	
2016-09-23	62.869999	63.25	62.700001	62.959999	7679800	62.959999	+	0.143152539258	
2016-09-22	62.919998	63.470001	62.830002	63.02	8447800	63.02	+	0.158935160805	
2016-09-21	62.259998	62.82	61.860001	62.700001	7219000	62.700001	+	0.706718622124	
2016-09-20	61.900002	62.41	61.689999	61.939999	9211600	61.939999	+	0.0646155067976	
2016-09-19	62.540001	62.540001	61.32	61.330002	11287700	61.330002	-	-1.93476012257	
2016-09-16	62.450001	62.619999	62.060001	62.279999	12432300	62.279999	-	-0.272220972422	
2016-09-15	61.240002	62.610001	61.119999	62.380001	8997800	62.380001	+	1.86152671909	
2016-09-14	61.919998	62.34	61.299999	61.349998	10421800	61.349998	-	-0.920542665392	
2016-09-13	62.369999	62.779999	61.369999	61.810001	10223400	61.810001	-	-0.89786437226	
2016-09-12	62.00	63.490002	61.91	63.189999	10629500	62.729999	+	1.91935322581	
2016-09-09	62.689999	62.709999	62.32	62.490002	12587500	62.035097	-	-0.319025367986	
2016-09-08	62.450001	63.290001	62.330002	63.240002	9186300	62.779638	+	1.26501359063	
2016-09-07	63.310001	63.490002	62.599998	62.869999	8668100	62.412328	-	-0.694996040199	
