Date	Open	High	Low	Close	Volume	Adj Close	+/-	% change	
2017-02-10	68.25	68.599998	67.760002	68.019997	12348000	68.019997	-	-0.337000732601	
2017-02-09	67.809998	69.139999	67.75	69.080002	11071500	69.080002	+	1.87288606025	
2017-02-08	66.889999	67.82	66.889999	67.809998	7605800	67.809998	+	1.37539096091	
2017-02-07	66.559998	67.00	66.510002	66.889999	5782400	66.889999	+	0.495794786532	
2017-02-06	66.370003	66.860001	66.370003	66.400002	9017100	66.400002	+	0.0451996363478	
2017-02-03	66.82	66.93	66.440002	66.50	6899000	66.50	-	-0.478898533373	
2017-02-02	66.339996	67.139999	66.339996	66.699997	8979400	66.699997	+	0.542660569349	
2017-02-01	66.459999	66.709999	66.040001	66.230003	9024200	66.230003	-	-0.346066812309	
2017-01-31	66.209999	66.889999	65.879997	66.739998	9269300	66.739998	+	0.800481812422	
2017-01-30	65.629997	66.480003	65.629997	66.419998	8589400	66.419998	+	1.20371939069	
2017-01-27	66.860001	66.970001	65.279999	65.660004	13354600	65.660004	-	-1.79479058039	
2017-01-26	67.129997	67.220001	66.620003	66.730003	6475300	66.730003	-	-0.595849870215	
2017-01-25	67.519997	67.730003	66.790001	66.889999	7554800	66.889999	-	-0.933053951409	
2017-01-24	66.889999	67.410004	66.660004	67.400002	10343900	67.400002	+	0.762450302922	
2017-01-23	67.010002	67.18	66.559998	66.650002	6662100	66.650002	-	-0.537233232734	
2017-01-20	67.739998	67.830002	67.019997	67.18	11219000	67.18	-	-0.826687358331	
2017-01-19	68.129997	68.190002	67.480003	67.620003	6776700	67.620003	-	-0.748560138642	
2017-01-18	67.879997	68.110001	67.540001	68.110001	7312500	68.110001	+	0.338839142848	
2017-01-17	68.099998	69.290001	68.059998	68.419998	13140200	68.419998	+	0.469897223786	
2017-01-13	67.980003	68.019997	67.080002	67.129997	9984400	67.129997	-	-1.25037652617	
2017-01-12	68.360001	68.559998	67.919998	67.970001	6530500	67.970001	-	-0.570509061286	
2017-01-11	68.199997	68.620003	68.190002	68.529999	6461800	68.529999	+	0.483873921578	
2017-01-10	68.639999	69.269997	68.220001	68.230003	10193400	68.230003	-	-0.597313528516	
2017-01-09	68.330002	68.800003	68.32	68.709999	8660600	68.709999	+	0.556120282274	
2017-01-06	68.410004	68.50	68.010002	68.260002	9455200	68.260002	-	-0.219269099882	
2017-01-05	68.43	69.330002	68.120003	69.209999	7083700	69.209999	+	1.13984948122	
2017-01-04	68.660004	69.629997	68.599998	69.059998	7858500	69.059998	+	0.582572060439	
2017-01-03	69.239998	69.239998	68.050003	68.660004	10150400	68.660004	-	-0.83765744765	
