Date	Open	High	Low	Close	Volume	Adj Close	+/-	% change	
2016-09-16	37.720001	38.049999	37.25	37.669998	73962500	37.669998	-	-0.132563623209	
2016-09-15	35.740002	36.650002	35.540001	36.560001	23736000	36.560001	+	2.29434514301	
2016-09-14	35.509998	35.82	35.400002	35.619999	14074500	35.619999	+	0.309774728796	
2016-09-13	35.75	35.880001	35.32	35.610001	23591300	35.610001	-	-0.391605594406	
2016-09-12	35.189999	36.119999	35.060001	36.080002	22796600	36.080002	+	2.52913619009	
2016-09-09	36.099998	36.389999	35.439999	35.439999	29457900	35.439999	-	-1.82825217885	
2016-09-08	36.349998	36.59	36.119999	36.439999	20356500	36.439999	+	0.247595611972	
2016-09-07	36.650002	36.650002	36.380001	36.459999	18495600	36.459999	-	-0.518425619731	
2016-09-06	36.380001	36.599998	36.169998	36.57	22337800	36.57	+	0.52226221764	
2016-09-02	36.209999	36.330002	35.950001	36.080002	16726700	36.080002	-	-0.359008571086	
