Date	Open	High	Low	Close	Volume	Adj Close	+/-	% change	
2016-09-16	66.089996	66.260002	65.440002	65.82	24799800	65.82	-	-0.408527789894	
2016-09-15	66.290001	66.93	66.089996	66.639999	12531300	66.639999	+	0.52798007953	
2016-09-14	66.269997	67.25	66.209999	66.400002	12648600	66.400002	+	0.196174748582	
2016-09-13	66.110001	66.860001	65.82	66.529999	18876100	66.529999	+	0.635301760168	
2016-09-12	66.139999	67.300003	65.760002	67.059998	16453000	67.059998	+	1.3909873207	
2016-09-09	67.029999	67.43	66.639999	66.650002	19686900	66.650002	-	-0.566905871504	
2016-09-08	67.220001	67.68	67.00	67.25	12253000	67.25	+	0.044628086215	
2016-09-07	67.160004	67.589996	66.959999	67.160004	10070400	67.160004	no change	0.0	
2016-09-06	67.50	67.550003	66.709999	67.440002	16649400	67.440002	-	-0.0888859259259	
2016-09-02	67.400002	67.580002	66.980003	67.489998	13720700	67.489998	+	0.13352521859	
