"Date"	"Tweet Prediction Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Adj Close"	"+/-"	"% change"
"2016-10-27"	"2016-10-24"	"115.389999"	"115.860001"	"114.099998"	"114.480003"	"31129900"	"114.480003"	"-"	"-0.788626404269"
"2016-10-26"	"2016-10-23"	"114.309998"	"115.699997"	"113.309998"	"115.589996"	"66134200"	"115.589996"	"+"	"1.11976032053"
"2016-10-25"	"2016-10-22"	"117.949997"	"118.360001"	"117.309998"	"118.25"	"48129000"	"118.25"	"+"	"0.254347611387"
"2016-10-24"	"2016-10-21"	"117.099998"	"117.739998"	"117.00"	"117.650002"	"23538700"	"117.650002"	"+"	"0.469687454649"
"2016-10-21"	"2016-10-18"	"116.809998"	"116.910004"	"116.279999"	"116.599998"	"23192700"	"116.599998"	"-"	"-0.179779131577"
"2016-10-20"	"2016-10-17"	"116.860001"	"117.379997"	"116.330002"	"117.059998"	"24125800"	"117.059998"	"+"	"0.171142391142"
"2016-10-19"	"2016-10-16"	"117.25"	"117.760002"	"113.800003"	"117.120003"	"20034600"	"117.120003"	"-"	"-0.110871641791"
"2016-10-18"	"2016-10-15"	"118.18"	"118.209999"	"117.449997"	"117.470001"	"24553500"	"117.470001"	"-"	"-0.600777627348"
"2016-10-17"	"2016-10-14"	"117.330002"	"117.839996"	"116.779999"	"117.550003"	"23624900"	"117.550003"	"+"	"0.187506175957"
"2016-10-14"	"2016-10-11"	"117.879997"	"118.169998"	"117.129997"	"117.629997"	"35652200"	"117.629997"	"-"	"-0.212080086836"
"2016-10-13"	"2016-10-10"	"116.790001"	"117.440002"	"115.720001"	"116.980003"	"35192400"	"116.980003"	"+"	"0.162686872483"
"2016-10-12"	"2016-10-09"	"117.349998"	"117.980003"	"116.75"	"117.339996"	"37586800"	"117.339996"	"-"	"-0.00852322127862"
"2016-10-11"	"2016-10-08"	"117.699997"	"118.690002"	"116.199997"	"116.300003"	"64041000"	"116.300003"	"-"	"-1.18945967348"
"2016-10-10"	"2016-10-07"	"115.019997"	"116.75"	"114.720001"	"116.050003"	"36236000"	"116.050003"	"+"	"0.895501675243"
"2016-10-07"	"2016-10-04"	"114.309998"	"114.559998"	"113.510002"	"114.059998"	"24358400"	"114.059998"	"-"	"-0.218703529327"
"2016-10-06"	"2016-10-03"	"113.699997"	"114.339996"	"113.129997"	"113.889999"	"28779300"	"113.889999"	"+"	"0.167108183829"
"2016-10-05"	"2016-10-02"	"113.400002"	"113.660004"	"112.690002"	"113.050003"	"21453100"	"113.050003"	"-"	"-0.308641088031"
"2016-10-04"	"2016-10-01"	"113.059998"	"114.309998"	"112.629997"	"113.00"	"29736800"	"113.00"	"-"	"-0.0530673987806"
"2016-10-03"	"2016-09-30"	"112.709999"	"113.050003"	"112.279999"	"112.519997"	"21701800"	"112.519997"	"-"	"-0.168575992978"
"2016-09-30"	"2016-09-27"	"112.459999"	"113.370003"	"111.800003"	"113.050003"	"36379100"	"113.050003"	"+"	"0.524634541389"
"2016-09-29"	"2016-09-26"	"113.160004"	"113.800003"	"111.800003"	"112.18"	"35887000"	"112.18"	"-"	"-0.86603390364"
"2016-09-28"	"2016-09-25"	"113.690002"	"114.639999"	"113.43"	"113.949997"	"29641100"	"113.949997"	"+"	"0.228687655402"
"2016-09-27"	"2016-09-24"	"113.00"	"113.18"	"112.339996"	"113.089996"	"24607400"	"113.089996"	"+"	"0.0796424778761"
"2016-09-26"	"2016-09-23"	"111.639999"	"113.389999"	"111.550003"	"112.879997"	"29869400"	"112.879997"	"+"	"1.11071122457"
"2016-09-23"	"2016-09-20"	"114.419998"	"114.790001"	"111.550003"	"112.709999"	"52481200"	"112.709999"	"-"	"-1.49449312174"
"2016-09-22"	"2016-09-19"	"114.349998"	"114.940002"	"114.00"	"114.620003"	"31074000"	"114.620003"	"+"	"0.236121560754"
"2016-09-21"	"2016-09-18"	"113.849998"	"113.989998"	"112.440002"	"113.550003"	"36003200"	"113.550003"	"-"	"-0.263500224216"
"2016-09-20"	"2016-09-17"	"113.050003"	"114.120003"	"112.510002"	"113.57"	"34514300"	"113.57"	"+"	"0.45997079717"
"2016-09-19"	"2016-09-16"	"115.190002"	"116.18"	"113.25"	"113.580002"	"47023000"	"113.580002"	"-"	"-1.3976907475"
"2016-09-16"	"2016-09-13"	"115.120003"	"116.129997"	"114.040001"	"114.919998"	"79886900"	"114.919998"	"-"	"-0.173736096932"
"2016-09-15"	"2016-09-12"	"113.860001"	"115.730003"	"113.489998"	"115.57"	"89983600"	"115.57"	"+"	"1.50184347882"
"2016-09-14"	"2016-09-11"	"108.730003"	"113.029999"	"108.599998"	"111.769997"	"110888700"	"111.769997"	"+"	"2.79591089499"
"2016-09-13"	"2016-09-10"	"107.510002"	"108.790001"	"107.239998"	"107.949997"	"62176200"	"107.949997"	"+"	"0.409259596144"
"2016-09-12"	"2016-09-09"	"102.650002"	"105.720001"	"102.529999"	"105.440002"	"45292800"	"105.440002"	"+"	"2.71797364407"
"2016-09-09"	"2016-09-06"	"104.639999"	"105.720001"	"103.129997"	"103.129997"	"46557000"	"103.129997"	"-"	"-1.44304473856"
"2016-09-08"	"2016-09-05"	"107.25"	"107.269997"	"105.239998"	"105.519997"	"53002000"	"105.519997"	"-"	"-1.61305641026"
"2016-09-07"	"2016-09-04"	"107.830002"	"108.760002"	"107.07"	"108.360001"	"42364300"	"108.360001"	"+"	"0.491513484345"
