"Date"	"Tweet Prediction Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Ex-Dividend"	"Split Ratio"	"Adj. Open"	"Adj. High"	"Adj. Low"	"Adj. Close"
"2016-07-01"	"2016-06-28"	"705.1"	"712.53"	"703.73"	"710.25"	"1549160.0"	"0.0"	"1.0"	"705.1"	"712.53"	"703.73"	"710.25"
"2016-07-05"	"2016-07-02"	"705.01"	"708.12"	"699.13"	"704.89"	"1422028.0"	"0.0"	"1.0"	"705.01"	"708.12"	"699.13"	"704.89"
"2016-07-06"	"2016-07-03"	"699.84"	"713.0"	"699.0"	"708.97"	"1445126.0"	"0.0"	"1.0"	"699.84"	"713.0"	"699.0"	"708.97"
"2016-07-07"	"2016-07-04"	"710.11"	"710.17"	"700.67"	"707.26"	"1058698.0"	"0.0"	"1.0"	"710.11"	"710.17"	"700.67"	"707.26"
"2016-07-08"	"2016-07-05"	"710.56"	"717.9"	"708.11"	"717.78"	"1497323.0"	"0.0"	"1.0"	"710.56"	"717.9"	"708.11"	"717.78"
"2016-07-11"	"2016-07-08"	"719.42"	"728.9289"	"718.865"	"727.2"	"1441113.0"	"0.0"	"1.0"	"719.42"	"728.9289"	"718.865"	"727.2"
"2016-07-12"	"2016-07-09"	"731.92"	"735.6"	"727.5"	"732.51"	"1328680.0"	"0.0"	"1.0"	"731.92"	"735.6"	"727.5"	"732.51"
"2016-07-13"	"2016-07-10"	"735.52"	"735.52"	"729.02"	"729.48"	"1021827.0"	"0.0"	"1.0"	"735.52"	"735.52"	"729.02"	"729.48"
"2016-07-14"	"2016-07-11"	"733.94"	"736.14"	"730.59"	"735.8"	"1070351.0"	"0.0"	"1.0"	"733.94"	"736.14"	"730.59"	"735.8"
"2016-07-15"	"2016-07-12"	"741.0"	"741.0"	"734.64"	"735.63"	"1617087.0"	"0.0"	"1.0"	"741.0"	"741.0"	"734.64"	"735.63"
"2016-07-18"	"2016-07-15"	"737.91"	"755.1369"	"736.51"	"753.2"	"1934900.0"	"0.0"	"1.0"	"737.91"	"755.1369"	"736.51"	"753.2"
"2016-07-19"	"2016-07-16"	"749.87"	"756.59"	"748.489"	"753.41"	"1521795.0"	"0.0"	"1.0"	"749.87"	"756.59"	"748.489"	"753.41"
"2016-07-20"	"2016-07-17"	"754.05"	"760.64"	"754.05"	"757.08"	"1125117.0"	"0.0"	"1.0"	"754.05"	"760.64"	"754.05"	"757.08"
"2016-07-21"	"2016-07-18"	"757.0"	"758.15"	"751.52"	"754.41"	"953053.0"	"0.0"	"1.0"	"757.0"	"758.15"	"751.52"	"754.41"
"2016-07-22"	"2016-07-19"	"757.32"	"759.45"	"752.655"	"759.28"	"1046024.0"	"0.0"	"1.0"	"757.32"	"759.45"	"752.655"	"759.28"
"2016-07-25"	"2016-07-22"	"757.68"	"759.8249"	"754.07"	"757.52"	"1073310.0"	"0.0"	"1.0"	"757.68"	"759.8249"	"754.07"	"757.52"
"2016-07-26"	"2016-07-23"	"757.52"	"759.26"	"752.7503"	"757.65"	"1189573.0"	"0.0"	"1.0"	"757.52"	"759.26"	"752.7503"	"757.65"
"2016-07-27"	"2016-07-24"	"758.97"	"764.45"	"755.93"	"761.97"	"1608589.0"	"0.0"	"1.0"	"758.97"	"764.45"	"755.93"	"761.97"
"2016-07-28"	"2016-07-25"	"768.84"	"768.97"	"759.09"	"765.84"	"3673221.0"	"0.0"	"1.0"	"768.84"	"768.97"	"759.09"	"765.84"
"2016-07-29"	"2016-07-26"	"797.71"	"803.94"	"790.0"	"791.34"	"5090527.0"	"0.0"	"1.0"	"797.71"	"803.94"	"790.0"	"791.34"
"2016-08-01"	"2016-07-29"	"786.67"	"807.49"	"785.04"	"800.94"	"3029658.0"	"0.0"	"1.0"	"786.67"	"807.49"	"785.04"	"800.94"
"2016-08-02"	"2016-07-30"	"797.33"	"802.32"	"794.53"	"800.12"	"1996354.0"	"0.0"	"1.0"	"797.33"	"802.32"	"794.53"	"800.12"
"2016-08-03"	"2016-07-31"	"796.47"	"799.54"	"793.02"	"798.92"	"1461025.0"	"0.0"	"1.0"	"796.47"	"799.54"	"793.02"	"798.92"
"2016-08-04"	"2016-08-01"	"798.24"	"800.2"	"793.92"	"797.25"	"1076031.0"	"0.0"	"1.0"	"798.24"	"800.2"	"793.92"	"797.25"
"2016-08-05"	"2016-08-02"	"800.11"	"807.22"	"797.81"	"806.93"	"1807271.0"	"0.0"	"1.0"	"800.11"	"807.22"	"797.81"	"806.93"
"2016-08-08"	"2016-08-05"	"806.0"	"807.6"	"801.69"	"805.23"	"1221609.0"	"0.0"	"1.0"	"806.0"	"807.6"	"801.69"	"805.23"
"2016-08-09"	"2016-08-06"	"804.49"	"813.33"	"804.06"	"807.48"	"1607685.0"	"0.0"	"1.0"	"804.49"	"813.33"	"804.06"	"807.48"
"2016-08-10"	"2016-08-07"	"807.05"	"810.879"	"806.49"	"808.49"	"918514.0"	"0.0"	"1.0"	"807.05"	"810.879"	"806.49"	"808.49"
"2016-08-11"	"2016-08-08"	"810.47"	"813.879"	"806.0"	"808.2"	"1282274.0"	"0.0"	"1.0"	"810.47"	"813.879"	"806.0"	"808.2"
"2016-08-12"	"2016-08-09"	"805.09"	"807.19"	"803.64"	"807.05"	"897283.0"	"0.0"	"1.0"	"805.09"	"807.19"	"803.64"	"807.05"
"2016-08-15"	"2016-08-12"	"807.21"	"811.36"	"804.03"	"805.96"	"930074.0"	"0.0"	"1.0"	"807.21"	"811.36"	"804.03"	"805.96"
"2016-08-16"	"2016-08-13"	"803.5"	"804.26"	"797.0"	"801.19"	"1057897.0"	"0.0"	"1.0"	"803.5"	"804.26"	"797.0"	"801.19"
"2016-08-17"	"2016-08-14"	"800.0"	"805.63"	"796.3"	"805.42"	"1066070.0"	"0.0"	"1.0"	"800.0"	"805.63"	"796.3"	"805.42"
"2016-08-18"	"2016-08-15"	"805.36"	"808.0"	"801.63"	"802.75"	"865160.0"	"0.0"	"1.0"	"805.36"	"808.0"	"801.63"	"802.75"
"2016-08-19"	"2016-08-16"	"799.79"	"801.23"	"796.88"	"799.65"	"1120763.0"	"0.0"	"1.0"	"799.79"	"801.23"	"796.88"	"799.65"
"2016-08-22"	"2016-08-19"	"798.51"	"799.3"	"794.33"	"796.95"	"853365.0"	"0.0"	"1.0"	"798.51"	"799.3"	"794.33"	"796.95"
"2016-08-23"	"2016-08-20"	"800.48"	"801.0"	"795.99"	"796.59"	"917513.0"	"0.0"	"1.0"	"800.48"	"801.0"	"795.99"	"796.59"
"2016-08-24"	"2016-08-21"	"796.86"	"798.46"	"790.76"	"793.6"	"1284437.0"	"0.0"	"1.0"	"796.86"	"798.46"	"790.76"	"793.6"
"2016-08-25"	"2016-08-22"	"792.0"	"794.72"	"787.23"	"791.3"	"1202680.0"	"0.0"	"1.0"	"792.0"	"794.72"	"787.23"	"791.3"
"2016-08-26"	"2016-08-23"	"792.49"	"799.4"	"789.4069"	"793.22"	"1248881.0"	"0.0"	"1.0"	"792.49"	"799.4"	"789.4069"	"793.22"
"2016-08-29"	"2016-08-26"	"793.05"	"798.52"	"790.32"	"795.82"	"773698.0"	"0.0"	"1.0"	"793.05"	"798.52"	"790.32"	"795.82"
"2016-08-30"	"2016-08-27"	"792.88"	"798.0"	"789.47"	"791.92"	"1167413.0"	"0.0"	"1.0"	"792.88"	"798.0"	"789.47"	"791.92"
"2016-08-31"	"2016-08-28"	"789.6"	"791.57"	"787.2"	"789.85"	"1071420.0"	"0.0"	"1.0"	"789.6"	"791.57"	"787.2"	"789.85"
"2016-09-01"	"2016-08-29"	"791.98"	"792.89"	"786.33"	"791.4"	"1303460.0"	"0.0"	"1.0"	"791.98"	"792.89"	"786.33"	"791.4"
"2016-09-02"	"2016-08-30"	"795.27"	"797.1"	"793.26"	"796.87"	"1349896.0"	"0.0"	"1.0"	"795.27"	"797.1"	"793.26"	"796.87"
"2016-09-06"	"2016-09-03"	"798.39"	"810.89"	"795.43"	"808.02"	"1989537.0"	"0.0"	"1.0"	"798.39"	"810.89"	"795.43"	"808.02"
"2016-09-07"	"2016-09-04"	"807.93"	"810.6"	"803.72"	"807.99"	"1145724.0"	"0.0"	"1.0"	"807.93"	"810.6"	"803.72"	"807.99"
"2016-09-08"	"2016-09-05"	"805.22"	"808.42"	"801.0101"	"802.84"	"1177660.0"	"0.0"	"1.0"	"805.22"	"808.42"	"801.0101"	"802.84"
"2016-09-09"	"2016-09-06"	"798.77"	"801.75"	"788.05"	"788.48"	"1887633.0"	"0.0"	"1.0"	"798.77"	"801.75"	"788.05"	"788.48"
"2016-09-12"	"2016-09-09"	"784.52"	"800.17"	"783.5"	"798.82"	"1863737.0"	"0.0"	"1.0"	"784.52"	"800.17"	"783.5"	"798.82"
"2016-09-13"	"2016-09-10"	"794.01"	"795.79"	"784.33"	"788.72"	"1809044.0"	"0.0"	"1.0"	"794.01"	"795.79"	"784.33"	"788.72"
"2016-09-14"	"2016-09-11"	"787.53"	"796.33"	"787.53"	"790.46"	"1313912.0"	"0.0"	"1.0"	"787.53"	"796.33"	"787.53"	"790.46"
"2016-09-15"	"2016-09-12"	"790.01"	"803.645"	"788.66"	"801.23"	"1566360.0"	"0.0"	"1.0"	"790.01"	"803.645"	"788.66"	"801.23"
"2016-09-16"	"2016-09-13"	"799.02"	"799.02"	"793.62"	"797.97"	"2130571.0"	"0.0"	"1.0"	"799.02"	"799.02"	"793.62"	"797.97"
"2016-09-19"	"2016-09-16"	"801.11"	"803.99"	"793.56"	"795.39"	"1149522.0"	"0.0"	"1.0"	"801.11"	"803.99"	"793.56"	"795.39"
"2016-09-20"	"2016-09-17"	"800.0"	"802.75"	"798.26"	"799.78"	"1050041.0"	"0.0"	"1.0"	"800.0"	"802.75"	"798.26"	"799.78"
"2016-09-21"	"2016-09-18"	"801.26"	"805.91"	"796.03"	"805.03"	"1348476.0"	"0.0"	"1.0"	"801.26"	"805.91"	"796.03"	"805.03"
