"Date"	"Tweet Prediction Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Adj Close"	"+/-"	"% change"
"2016-10-07"	"2016-10-10"	"805.929993"	"805.940002"	"796.820007"	"800.710022"	"1163100"	"800.710022"	"-"	"-0.647695338967"
"2016-10-06"	"2016-10-09"	"804.080017"	"806.950012"	"800.51001"	"803.080017"	"1097800"	"803.080017"	"-"	"-0.124365732123"
"2016-10-05"	"2016-10-08"	"806.00"	"808.50"	"800.710022"	"801.22998"	"1208200"	"801.22998"	"-"	"-0.591813895782"
"2016-10-04"	"2016-10-07"	"805.00"	"806.50"	"799.669983"	"802.789978"	"1254200"	"802.789978"	"-"	"-0.27453689441"
"2016-10-03"	"2016-10-06"	"802.549988"	"803.539978"	"796.22998"	"800.380005"	"1486100"	"800.380005"	"-"	"-0.270386023606"
"2016-09-30"	"2016-10-03"	"803.599976"	"808.090027"	"801.50"	"804.059998"	"1626700"	"804.059998"	"+"	"0.0572451485489"
"2016-09-29"	"2016-10-02"	"807.22998"	"813.909973"	"800.859985"	"802.640015"	"1348200"	"802.640015"	"-"	"-0.568606854765"
"2016-09-28"	"2016-10-01"	"804.080017"	"810.25"	"802.780029"	"810.059998"	"1468800"	"810.059998"	"+"	"0.743704715149"
"2016-09-27"	"2016-09-30"	"801.830017"	"813.48999"	"801.830017"	"810.72998"	"1353900"	"810.72998"	"+"	"1.10995632632"
"2016-09-26"	"2016-09-29"	"809.820007"	"810.080017"	"800.450012"	"802.650024"	"1426900"	"802.650024"	"-"	"-0.885379829842"
"2016-09-23"	"2016-09-26"	"815.140015"	"817.00"	"812.72998"	"814.960022"	"1407400"	"814.960022"	"-"	"-0.0220812371725"
"2016-09-22"	"2016-09-25"	"810.00"	"819.059998"	"807.710022"	"815.950012"	"1751800"	"815.950012"	"+"	"0.734569382716"
"2016-09-21"	"2016-09-24"	"801.26001"	"805.909973"	"796.030029"	"805.030029"	"1342200"	"805.030029"	"+"	"0.470511313799"
"2016-09-20"	"2016-09-23"	"800.00"	"802.75"	"798.26001"	"799.780029"	"1049200"	"799.780029"	"-"	"-0.027496375"
"2016-09-19"	"2016-09-22"	"801.109985"	"803.98999"	"793.559998"	"795.390015"	"1146700"	"795.390015"	"-"	"-0.714005580644"
"2016-09-16"	"2016-09-19"	"799.02002"	"799.02002"	"793.619995"	"797.969971"	"2125200"	"797.969971"	"-"	"-0.131417107671"
"2016-09-15"	"2016-09-18"	"790.01001"	"803.650024"	"788.659973"	"801.22998"	"1557200"	"801.22998"	"+"	"1.4202313715"
"2016-09-14"	"2016-09-17"	"787.530029"	"796.330017"	"787.530029"	"790.460022"	"1292100"	"790.460022"	"+"	"0.372048416201"
"2016-09-13"	"2016-09-16"	"794.01001"	"795.789978"	"784.330017"	"788.719971"	"1801000"	"788.719971"	"-"	"-0.666243363859"
"2016-09-12"	"2016-09-15"	"784.52002"	"800.169983"	"783.50"	"798.820007"	"1848200"	"798.820007"	"+"	"1.8227689078"
"2016-09-09"	"2016-09-12"	"798.77002"	"801.75"	"788.049988"	"788.47998"	"1858500"	"788.47998"	"-"	"-1.28823563008"
"2016-09-08"	"2016-09-11"	"805.219971"	"808.419983"	"801.01001"	"802.840027"	"1175200"	"802.840027"	"-"	"-0.295564452661"
"2016-09-07"	"2016-09-10"	"807.929993"	"810.599976"	"803.719971"	"807.98999"	"1145300"	"807.98999"	"+"	"0.00742601469433"
