"Date"	"Tweet Prediction Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Adj Close"	"+/-"	"% change"
"2016-10-17"	"2016-10-20"	"37.549999"	"37.720001"	"37.240002"	"37.290001"	"15672400"	"37.290001"	"-"	"-0.692404812048"
"2016-10-14"	"2016-10-17"	"37.189999"	"37.700001"	"37.16"	"37.450001"	"19123900"	"37.450001"	"+"	"0.699118061283"
"2016-10-13"	"2016-10-16"	"36.849998"	"37.130001"	"36.459999"	"36.970001"	"16936000"	"36.970001"	"+"	"0.325652663536"
"2016-10-12"	"2016-10-15"	"37.200001"	"37.25"	"36.810001"	"37.130001"	"14053900"	"37.130001"	"-"	"-0.188172037952"
"2016-10-11"	"2016-10-14"	"37.91"	"38.00"	"36.82"	"37.27"	"27650500"	"37.27"	"-"	"-1.68820891585"
"2016-10-10"	"2016-10-13"	"38.25"	"38.360001"	"37.900002"	"38.02"	"14954300"	"38.02"	"-"	"-0.601307189542"
"2016-10-07"	"2016-10-10"	"38.080002"	"38.220001"	"37.779999"	"38.099998"	"16942500"	"38.099998"	"+"	"0.0525105014438"
"2016-10-06"	"2016-10-09"	"37.84"	"38.16"	"37.580002"	"38.07"	"15171400"	"38.07"	"+"	"0.607822410148"
"2016-10-05"	"2016-10-08"	"37.75"	"38.310001"	"37.639999"	"37.990002"	"22420800"	"37.990002"	"+"	"0.635766887417"
"2016-10-04"	"2016-10-07"	"37.77"	"37.939999"	"37.330002"	"37.540001"	"14393100"	"37.540001"	"-"	"-0.60894625364"
"2016-10-03"	"2016-10-06"	"37.689999"	"37.950001"	"37.529999"	"37.66"	"14113600"	"37.66"	"-"	"-0.0795940588908"
"2016-09-30"	"2016-10-03"	"37.470001"	"37.919998"	"37.439999"	"37.75"	"24279300"	"37.75"	"+"	"0.747261789505"
"2016-09-29"	"2016-10-02"	"37.490002"	"37.529999"	"37.00"	"37.32"	"17675000"	"37.32"	"-"	"-0.453459565033"
"2016-09-28"	"2016-10-01"	"37.310001"	"37.50"	"37.150002"	"37.439999"	"19020800"	"37.439999"	"+"	"0.348426685917"
"2016-09-27"	"2016-09-30"	"36.900002"	"37.220001"	"36.630001"	"37.18"	"22391600"	"37.18"	"+"	"0.758802126894"
"2016-09-26"	"2016-09-29"	"36.919998"	"36.939999"	"36.599998"	"36.650002"	"25518800"	"36.650002"	"-"	"-0.731300147958"
"2016-09-23"	"2016-09-26"	"37.450001"	"37.650002"	"37.119999"	"37.189999"	"18062500"	"37.189999"	"-"	"-0.694264333932"
"2016-09-22"	"2016-09-25"	"37.599998"	"37.830002"	"37.439999"	"37.549999"	"17013400"	"37.549999"	"-"	"-0.132976070903"
"2016-09-21"	"2016-09-24"	"37.209999"	"37.459999"	"36.860001"	"37.450001"	"21233700"	"37.450001"	"+"	"0.64499329871"
"2016-09-20"	"2016-09-23"	"37.419998"	"37.43"	"36.939999"	"37.139999"	"24796900"	"37.139999"	"-"	"-0.748260328608"
"2016-09-19"	"2016-09-22"	"37.689999"	"38.02"	"37.09"	"37.16"	"30531700"	"37.16"	"-"	"-1.40620592747"
"2016-09-16"	"2016-09-19"	"37.720001"	"38.049999"	"37.25"	"37.669998"	"74577900"	"37.669998"	"-"	"-0.132563623209"
"2016-09-15"	"2016-09-18"	"35.740002"	"36.650002"	"35.540001"	"36.560001"	"23736000"	"36.560001"	"+"	"2.29434514301"
"2016-09-14"	"2016-09-17"	"35.509998"	"35.82"	"35.400002"	"35.619999"	"14074500"	"35.619999"	"+"	"0.309774728796"
"2016-09-13"	"2016-09-16"	"35.75"	"35.880001"	"35.32"	"35.610001"	"23591300"	"35.610001"	"-"	"-0.391605594406"
"2016-09-12"	"2016-09-15"	"35.189999"	"36.119999"	"35.060001"	"36.080002"	"22796600"	"36.080002"	"+"	"2.52913619009"
"2016-09-09"	"2016-09-12"	"36.099998"	"36.389999"	"35.439999"	"35.439999"	"29457900"	"35.439999"	"-"	"-1.82825217885"
"2016-09-08"	"2016-09-11"	"36.349998"	"36.59"	"36.119999"	"36.439999"	"20356500"	"36.439999"	"+"	"0.247595611972"
"2016-09-07"	"2016-09-10"	"36.650002"	"36.650002"	"36.380001"	"36.459999"	"18495600"	"36.459999"	"-"	"-0.518425619731"
