"Date"	"Tweet Prediction Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Adj Close"	"+/-"	"% change"
"2016-12-27"	"2016-12-24"	"87.050003"	"87.160004"	"86.75"	"87.129997"	"6849600"	"87.129997"	"+"	"0.0918943104459"
"2016-12-23"	"2016-12-20"	"87.00"	"87.150002"	"86.400002"	"87.050003"	"10725000"	"87.050003"	"+"	"0.0574747126437"
"2016-12-22"	"2016-12-19"	"86.440002"	"87.169998"	"86.209999"	"86.889999"	"13887200"	"86.889999"	"+"	"0.520588835711"
"2016-12-21"	"2016-12-18"	"86.43"	"86.809998"	"86.029999"	"86.75"	"11248800"	"86.75"	"+"	"0.370241814185"
"2016-12-20"	"2016-12-17"	"85.790001"	"86.540001"	"85.550003"	"86.529999"	"14242900"	"86.529999"	"+"	"0.862569053939"
"2016-12-19"	"2016-12-16"	"84.800003"	"85.440002"	"84.190002"	"85.43"	"13436400"	"85.43"	"+"	"0.742920964283"
"2016-12-16"	"2016-12-13"	"86.290001"	"86.290001"	"84.889999"	"84.940002"	"22710300"	"84.940002"	"-"	"-1.56449065286"
"2016-12-15"	"2016-12-12"	"85.400002"	"86.489998"	"84.900002"	"86.00"	"19323400"	"86.00"	"+"	"0.702573754038"
"2016-12-14"	"2016-12-11"	"83.879997"	"86.120003"	"83.760002"	"84.730003"	"22210900"	"84.730003"	"+"	"1.01335959752"
"2016-12-13"	"2016-12-10"	"84.980003"	"85.669998"	"83.82"	"84.760002"	"16369300"	"84.760002"	"-"	"-0.258885611007"
"2016-12-12"	"2016-12-09"	"85.360001"	"85.790001"	"84.290001"	"84.730003"	"14419600"	"84.730003"	"-"	"-0.738048257521"
"2016-12-09"	"2016-12-06"	"85.019997"	"85.50"	"84.139999"	"85.489998"	"14447800"	"85.489998"	"+"	"0.55281229897"
"2016-12-08"	"2016-12-05"	"84.230003"	"85.50"	"83.940002"	"85.120003"	"20802000"	"85.120003"	"+"	"1.05663061653"
"2016-12-07"	"2016-12-04"	"83.550003"	"84.089996"	"82.849998"	"84.07"	"18719300"	"84.07"	"+"	"0.622378194289"
"2016-12-06"	"2016-12-03"	"83.599998"	"83.809998"	"82.43"	"83.690002"	"15875600"	"83.690002"	"+"	"0.107660289657"
"2016-12-05"	"2016-12-02"	"82.300003"	"83.290001"	"82.290001"	"83.260002"	"18389300"	"83.260002"	"+"	"1.16646289794"
"2016-12-02"	"2016-11-29"	"81.800003"	"81.830002"	"80.900002"	"81.599998"	"16847300"	"81.599998"	"-"	"-0.244504881008"
"2016-12-01"	"2016-11-28"	"80.650002"	"82.279999"	"80.650002"	"81.790001"	"23561800"	"81.790001"	"+"	"1.41351391411"
"2016-11-30"	"2016-11-27"	"79.919998"	"80.529999"	"79.699997"	"80.169998"	"24820500"	"80.169998"	"+"	"0.312812820641"
"2016-11-29"	"2016-11-26"	"78.389999"	"79.160004"	"78.389999"	"78.919998"	"14098500"	"78.919998"	"+"	"0.676105379208"
"2016-11-28"	"2016-11-25"	"78.18"	"78.870003"	"78.019997"	"78.32"	"12860100"	"78.32"	"+"	"0.179073931952"
"2016-11-25"	"2016-11-22"	"79.099998"	"79.449997"	"78.470001"	"78.830002"	"6184500"	"78.830002"	"-"	"-0.341335027594"
"2016-11-23"	"2016-11-20"	"78.870003"	"79.239998"	"77.889999"	"78.860001"	"13373700"	"78.860001"	"-"	"-0.0126816275131"
"2016-11-22"	"2016-11-19"	"78.349998"	"78.559998"	"77.760002"	"78.529999"	"14367700"	"78.529999"	"+"	"0.22973963573"
"2016-11-21"	"2016-11-18"	"78.00"	"78.169998"	"77.290001"	"78.050003"	"11723100"	"78.050003"	"+"	"0.0641064102564"
"2016-11-18"	"2016-11-15"	"77.959999"	"78.419998"	"77.550003"	"77.709999"	"19398300"	"77.709999"	"-"	"-0.320677274508"
"2016-11-17"	"2016-11-14"	"77.93"	"78.459999"	"77.599998"	"78.019997"	"19176300"	"78.019997"	"+"	"0.115484409085"
"2016-11-16"	"2016-11-13"	"78.220001"	"78.349998"	"76.879997"	"77.400002"	"25714900"	"77.400002"	"-"	"-1.04832394466"
