"Date"	"Tweet Prediction Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Adj Close"	"+/-"	"% change"
"2017-03-15"	"2017-03-12"	"91.00"	"91.779999"	"90.730003"	"91.400002"	"7713100"	"91.400002"	"+"	"0.439562637363"
"2017-03-14"	"2017-03-11"	"91.260002"	"91.589996"	"90.82"	"91.00"	"6684200"	"91.00"	"-"	"-0.284902470197"
"2017-03-13"	"2017-03-10"	"91.059998"	"91.489998"	"90.849998"	"91.309998"	"7073100"	"91.309998"	"+"	"0.274544262564"
"2017-03-10"	"2017-03-07"	"90.800003"	"91.160004"	"90.650002"	"91.07"	"6733300"	"91.07"	"+"	"0.297353514405"
"2017-03-09"	"2017-03-06"	"90.139999"	"90.489998"	"90.099998"	"90.339996"	"5587400"	"90.339996"	"+"	"0.221873754403"
"2017-03-08"	"2017-03-05"	"90.019997"	"90.349998"	"89.760002"	"90.139999"	"5503700"	"90.139999"	"+"	"0.133305936458"
"2017-03-07"	"2017-03-04"	"90.139999"	"90.489998"	"90.059998"	"90.290001"	"5236200"	"90.290001"	"+"	"0.16641003069"
"2017-03-06"	"2017-03-03"	"89.889999"	"90.510002"	"89.589996"	"90.370003"	"6462800"	"90.370003"	"+"	"0.533990438692"
"2017-03-03"	"2017-02-28"	"90.910004"	"90.910004"	"89.889999"	"90.50"	"8334900"	"90.50"	"-"	"-0.450999870157"
"2017-03-02"	"2017-02-27"	"91.400002"	"91.589996"	"90.879997"	"90.910004"	"7026300"	"90.910004"	"-"	"-0.536102832908"
"2017-03-01"	"2017-02-26"	"91.050003"	"91.889999"	"90.709999"	"91.660004"	"8747600"	"91.660004"	"+"	"0.669962635806"
"2017-02-28"	"2017-02-25"	"90.900002"	"91.790001"	"90.650002"	"91.07"	"10470400"	"91.07"	"+"	"0.187016497535"
"2017-02-27"	"2017-02-24"	"90.529999"	"90.910004"	"90.059998"	"90.889999"	"11640500"	"90.889999"	"+"	"0.397658239232"
"2017-02-24"	"2017-02-21"	"90.970001"	"91.339996"	"90.669998"	"91.050003"	"6600100"	"91.050003"	"+"	"0.087943277037"
"2017-02-23"	"2017-02-20"	"91.610001"	"91.800003"	"90.910004"	"91.129997"	"7574500"	"91.129997"	"-"	"-0.523964626963"
"2017-02-22"	"2017-02-19"	"91.449997"	"91.800003"	"91.25"	"91.440002"	"6742700"	"91.440002"	"-"	"-0.0109294700141"
"2017-02-21"	"2017-02-18"	"90.580002"	"91.800003"	"90.580002"	"91.669998"	"8160600"	"91.669998"	"+"	"1.2033517067"
"2017-02-17"	"2017-02-14"	"90.610001"	"91.360001"	"90.449997"	"91.089996"	"12084400"	"91.089996"	"+"	"0.529737329989"
"2017-02-16"	"2017-02-13"	"90.919998"	"91.120003"	"90.540001"	"90.790001"	"12404400"	"90.790001"	"-"	"-0.1429795456"
"2017-02-15"	"2017-02-12"	"89.809998"	"91.150002"	"89.809998"	"91.120003"	"25770700"	"91.120003"	"+"	"1.45864049568"
