Date,Open,High,Low,Close,Volume,Adj Close
2016-08-12,86.919998,87.449997,86.779999,87.040001,8058800,87.040001
2016-08-11,86.699997,87.00,86.400002,86.730003,7387100,86.730003
2016-08-10,86.260002,86.82,86.00,86.309998,5981400,86.309998
2016-08-09,85.860001,86.339996,85.68,85.989998,4158800,85.989998
2016-08-08,85.610001,85.900002,85.129997,85.760002,5388200,85.760002
2016-08-05,86.080002,86.440002,85.529999,85.779999,6729700,85.779999
2016-08-04,86.120003,86.529999,85.800003,86.050003,5564100,86.050003
2016-08-03,86.510002,86.720001,85.459999,85.970001,8192100,85.970001
2016-08-02,87.019997,87.150002,86.239998,86.760002,13083200,86.760002
2016-08-01,85.440002,86.580002,85.419998,86.410004,10420600,86.410004
2016-07-29,84.889999,85.790001,84.800003,85.589996,7520900,85.589996
2016-07-28,84.419998,84.980003,84.400002,84.809998,5911600,84.809998
2016-07-27,85.239998,85.300003,84.32,84.459999,7744700,84.459999
2016-07-26,85.68,86.080002,85.169998,85.269997,5379300,85.269997
2016-07-25,85.529999,85.800003,85.150002,85.800003,5605300,85.800003
2016-07-22,85.50,85.980003,85.449997,85.720001,6165600,85.720001
2016-07-21,85.019997,85.370003,84.879997,85.260002,5407000,85.260002
2016-07-20,85.379997,85.730003,85.129997,85.32,6289000,85.32
2016-07-19,85.669998,86.18,85.559998,86.169998,6078200,85.50
2016-07-18,86.019997,86.050003,85.699997,85.93,4781300,85.261868
2016-07-15,86.25,86.480003,85.790001,86.010002,8491300,85.341248
