Date	Open	High	Low	Close	Volume	Adj Close	+/-	% change	
2016-08-12	86.919998	87.449997	86.779999	87.040001	8058800	87.040001	+	0.13806143898	
2016-08-11	86.699997	87.00	86.400002	86.730003	7387100	86.730003	+	0.0346089977373	
2016-08-10	86.260002	86.82	86.00	86.309998	5981400	86.309998	+	0.0579596555075	
2016-08-09	85.860001	86.339996	85.68	85.989998	4158800	85.989998	+	0.151405775083	
2016-08-08	85.610001	85.900002	85.129997	85.760002	5388200	85.760002	+	0.175214342072	
2016-08-05	86.080002	86.440002	85.529999	85.779999	6729700	85.779999	-	-0.348516488185	
2016-08-04	86.120003	86.529999	85.800003	86.050003	5564100	86.050003	-	-0.0812819293562	
2016-08-03	86.510002	86.720001	85.459999	85.970001	8192100	85.970001	-	-0.624206435691	
2016-08-02	87.019997	87.150002	86.239998	86.760002	13083200	86.760002	-	-0.298776153716	
2016-08-01	85.440002	86.580002	85.419998	86.410004	10420600	86.410004	+	1.13530193972	
