Date	Open	High	Low	Close	Volume	Adj Close	+/-	% change	
10/5/16	113.400002	113.660004	112.690002	113.050003	21240900	113.050003	-	-0.308641088031	
10/4/16	113.059998	114.309998	112.629997	113	29736800	113	-	-0.0530673987806	
10/3/16	112.709999	113.050003	112.279999	112.519997	21701800	112.519997	-	-0.168575992978	
9/30/16	112.459999	113.370003	111.800003	113.050003	36379100	113.050003	+	0.524634541389	
9/29/16	113.160004	113.800003	111.800003	112.18	35887000	112.18	-	-0.86603390364	
9/28/16	113.690002	114.639999	113.43	113.949997	29641100	113.949997	+	0.228687655402	
9/27/16	113	113.18	112.339996	113.089996	24607400	113.089996	+	0.0796424778761	
9/26/16	111.639999	113.389999	111.550003	112.879997	29869400	112.879997	+	1.11071122457	
9/23/16	114.419998	114.790001	111.550003	112.709999	52481200	112.709999	-	-1.49449312174	
9/22/16	114.349998	114.940002	114	114.620003	31074000	114.620003	+	0.236121560754	
