Date	Open	High	Low	Close	Volume	Adj Close	+/-	% change	
2016-09-16	115.120003	116.129997	114.040001	114.919998	79677200	114.919998	-	-0.173736096932	
2016-09-15	113.860001	115.730003	113.489998	115.57	89983600	115.57	+	1.50184347882	
2016-09-14	108.730003	113.029999	108.599998	111.769997	110888700	111.769997	+	2.79591089499	
2016-09-13	107.510002	108.790001	107.239998	107.949997	62176200	107.949997	+	0.409259596144	
2016-09-12	102.650002	105.720001	102.529999	105.440002	45292800	105.440002	+	2.71797364407	
2016-09-09	104.639999	105.720001	103.129997	103.129997	46557000	103.129997	-	-1.44304473856	
2016-09-08	107.25	107.269997	105.239998	105.519997	53002000	105.519997	-	-1.61305641026	
2016-09-07	107.830002	108.760002	107.07	108.360001	42364300	108.360001	+	0.491513484345	
2016-09-06	107.900002	108.300003	107.510002	107.699997	26880400	107.699997	-	-0.185361442347	
2016-09-02	107.699997	108.00	106.82	107.730003	26802500	107.730003	+	0.02786072501	
