Date	Open	High	Low	Close	Volume	Adj Close	+/-	% change	
2016-08-22	63.25	63.639999	63.080002	63.549999	6441500	63.549999	+	0.474306719368	
2016-08-19	63.18	63.439999	62.869999	63.360001	8480000	63.360001	+	0.28490186768	
2016-08-18	63.080002	63.639999	63.080002	63.630001	6926600	63.630001	+	0.871907074448	
2016-08-17	63.029999	63.43	62.599998	63.290001	8271500	63.290001	+	0.412505162819	
2016-08-16	63.00	63.32	62.84	63.040001	5680100	63.040001	+	0.0634936507936	
2016-08-15	63.349998	63.75	63.209999	63.32	6650100	63.32	-	-0.0473528033892	
2016-08-12	63.139999	63.450001	62.93	63.349998	6244300	63.349998	+	0.332592656519	
2016-08-11	62.610001	63.73	62.48	63.630001	10365000	63.630001	+	1.62913270038	
2016-08-10	62.09	63.099998	62.07	62.639999	8835400	62.639999	+	0.885809309067	
2016-08-09	62.860001	63.139999	62.43	62.490002	12234400	62.490002	-	-0.588608008454	
